Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Alabama (Items),65.24007634,61.29784792,50.86890915,53.375,46.29931973,43.77328276,53.3277592,56.33628675,52.83152377,40.4212283,45.59478055,39.21941427,39.01502543,44.99482616,41.48858185,44.01946228,41.42593757,40.14195239,45.62660291,57.54185304,56.97578125,48.59338151,47.51074987,47.14804377,46.7974516,48.14710204,50.58759664,53.22599932,46.88391801,41.28908213,48.80831624,45.80982634,43.26735104,37.8973392,39.93664676,40.80467995,41.17531949,39.23667741,38.32101886,39.47375691,36.53524921,38.38946281
        Alaska (Items),45.60441426,44.03507109,45.485172,53.1953867,54.29090909,52.96401985,44.39228598,34.35852911,32.37852113,29.00197889,31.52589641,35.46403461,40.0670194,37.51954976,31.01133333,31.38030194,31.53958493,31.43119266,32.17906336,30.6695279,30.65599343,31.99008264,28.34171598,25.82076176,27.43615495,26.20983125,29.41360544,27.9661476,26.8221957,31.59686147,29.80925131,30.86202186,30.95145228,30.40193492,34.9124487,35.47383863,33.67250876,31.59318637,29.63515313,29.30899556,24.75418502,30.19472617
        Arizona (Items),93.70427163,96.34962519,72.59140741,70.57932213,76.59201837,79.75906555,75.02526316,55.90034513,55.38593005,56.92609351,52.73373409,49.4230221,47.85242385,49.85210961,50.77992868,49.17934313,51.63040841,51.2842957,56.05069124,60.23850377,55.95226395,54.61114911,58.22389593,56.0080825,53.02058414,54.07037226,64.92640906,61.64502695,59.47527473,52.31267806,51.88924758,56.61756238,55.28777143,51.13182423,52.14919268,47.59421842,48.77939932,50.94492877,49.95837735,46.61201608,52.03613177,52.07474519
        Arkansas (Items),41.81818182,36.03952569,25.95124481,26.54298643,28.67902996,31.85119798,31.64114833,35.47976879,36.7556615,30.90880503,33.8083501,35.13748657,31.40606061,35.55015096,35.00438005,38.6868476,34.9614576,35.43804714,40.55325321,46.94018765,49.00754603,45.34009318,43.60488959,42.67747164,40.52150697,48.64180064,44.76356472,43.8780692,40.0473522,37.80201624,42.45521797,41.94385679,42.1443986,38.23350254,36.12283044,35.20893517,35.39179351,39.50727995,38.81057692,38.5255829,36.08273121,40.13030747
        California (Items),68.60692925,65.09558619,61.86892361,61.74537739,66.44261923,66.42992997,67.22419379,67.2114305,67.91143565,64.62692783,61.62568972,61.97688474,60.47532437,57.20745488,61.14880339,59.51971716,61.28005358,54.50731332,57.56369064,63.67936024,61.82846833,63.76751899,65.66473738,64.048916,60.12140541,56.35673345,60.00444854,58.13687636,60.5623952,56.28674438,54.11063234,58.22405572,57.13448806,55.9286937,56.23274194,55.91848265,55.07363933,57.47238065,57.0378191,49.61968211,58.14138056,52.29043448
        Colorado (Items),49.71880544,51.90320683,50.42121729,53.93069891,50.18462402,45.78583081,49.59445949,51.53094463,42.28594712,40.09121061,36.62388646,40.03477472,39.04458687,38.86257389,39.38516746,36.61249359,38.46805803,36.53644586,39.42548171,37.40228077,38.30242251,36.77988712,39.23749676,38.41672001,35.46342402,37.97619048,39.70151307,44.12777437,42.18449095,40.52880877,43.11347115,46.41019178,47.21185692,45.74928806,42.45274071,41.39241211,41.2691974,43.32227084,46.8001237,41.53201542,44.30528278,49.65052866
        Connecticut (Items),89.8888183,76.67156863,79.17084827,84.0532646,71.52879868,67.94299414,62.16684492,63.11182451,67.75025694,59.50302725,55.06932668,55.96864111,45.77082452,48.94761499,51.49602724,47.41576087,42.16356275,46.71494965,47.11998514,53.46347403,48.38687036,55.56283422,58.2736014,51.78173913,47.20263158,51.42778014,47.92948984,49.9924182,45.68895006,39.78149606,43.83885122,43.15798843,47.99682288,48.16150794,44.81336497,45.5116096,44.31000395,41.29430012,41.23236677,41.46212995,40.93140655,42.83502907
        Delaware (Items),53.45857988,35.66917293,47.81071836,75.30490196,67.86139535,72.01769088,64.33199599,69.29805825,75.5625,67.65509989,63.42635659,60.63673058,51.59408867,65.95083799,63.43632337,63.09263393,59.82033898,63.36482085,67.55353075,69.26506024,62.033954,67.49945593,68.51416122,61.95929593,58.25560538,63.91713326,60.30100334,58.18018018,56.27404922,47.31977401,53.69467213,48.4173516,49.73836127,44.87764489,47.20566728,46.36621005,44.99908759,43.83409716,42.4803653,44.20456621,39.6654479,42.16071429
        District of Columbia (Items),79.22677596,76.81917808,72.59726027,75.94794521,70.53296703,73.2122905,72.78296703,72.28219178,57.56932153,57.90985915,63.9890411,67.58082192,59.03551913,68.0109589,68.07142857,64.98901099,58.78688525,60.35616438,63.70410959,71.1890411,,,,,,,,,,,,,,,,,,,,,,
        Florida (Items),44.86093338,47.72174077,44.14460943,41.41512953,47.44592729,42.23149681,42.20333117,45.85413189,45.28055609,46.86476664,47.25370895,43.07590225,44.13691099,46.07448276,42.87120938,42.79752544,40.99103139,41.02663934,45.12994186,46.23637576,48.42237737,43.770114,41.20860333,41.64095745,44.10058933,44.50402653,46.07945827,44.42045455,41.84553749,39.29514908,42.12026035,41.24708745,38.20948418,36.93567556,37.92498566,36.07757023,38.09406865,38.4365669,36.97333907,37.36638119,36.62980325,38.21928721
        Georgia (Items),35.5176,47.82469512,47.83274021,38.07624426,52.85818476,50.22619048,60.52394775,49.72767747,47.67736022,40.76306857,50.21791112,39.9309322,37.83178737,44.25951006,38.91650635,41.44162705,42.8428246,44.43157105,47.50763535,60.42506214,54.41532955,47.27366864,47.8857072,44.21238728,47.57325861,50.30088976,52.66748166,54.27474102,49.92428198,43.91654295,48.36438183,49.18879493,44.88867825,39.97857143,42.10104012,39.02825696,41.16924755,39.04721479,37.61183973,40.50544178,35.54629301,38.60797665
        Hawaii (Items),16.8033241,30.9275766,37.61917808,46.66575342,49.94262295,39.27513228,23.91346154,47.14599483,27.88858322,42.54590571,30.43465909,32.40755873,40.18294849,38.47826087,36.25575221,41.62636274,34.91933916,30.34249084,28.0323741,27.33892321,31.60412926,34.84099265,36.86133333,41.15803336,35.12725632,32.15830116,30.37987243,43.10985915,73.64100186,76.14797794,80.27306617,58.34441088,63.29224377,56.02676733,51.47042053,55.01921757,54.65934066,53.24776939,41.65006916,20.85792725,20.29036729,23.65116279
        Idaho (Items),90.5885989,86.14787701,57.85805991,58.23187311,66.05816135,71.73816156,46.21615385,42.97407407,43.78393352,42.82226212,39.19166106,37.42331288,36.48151002,35.58539853,34.69892473,30.83426966,32.41502754,32.16232877,30.65306122,35.31918951,35.24718563,38.60462428,36.68540564,32.98955447,33.77131583,31.77394921,31.77533194,31.41045033,29.36256684,28.33680793,29.84156831,28.85505639,30.71672819,32.08287014,30.11235648,32.20992622,29.18650794,36.02748505,32.46125052,28.14238365,32.4183844,32.2464332
        Illinois (Items),58.99056217,52.07013254,46.89961299,54.40929966,54.32032806,53.07127834,52.4446609,54.5569347,60.1356594,52.27737491,46.98658683,50.23459292,46.73429173,44.65926026,49.71059696,49.45538689,46.60865266,45.3949241,47.0651575,49.63580322,45.88565685,47.05166724,48.19123641,43.36589478,39.60040296,46.31355648,40.7329932,46.96630459,41.05836315,39.68183851,42.0373393,39.29121761,42.45945636,36.70317442,36.22663222,35.8328105,35.62769867,37.94834943,37.69590894,36.49086708,34.87987435,38.4320281
